"","msoa11nm","msoa11cd","dose","ex_deaths","unvax","pop","ex_deathrate"
"5327","Sole Street & Vigo","E02005067","1st",5.55860478756438,1255,5277,105.336456084222
"5328","Solihull Lodge","E02002101","1st",5.92015391031378,1515,5498,107.678317757617
"5329","Somercotes & Pye Bridge","E02004031","1st",5.04355144197833,2100,6286,80.2346713645933
"5330","Somerford","E02004240","1st",5.02316340378207,1504,5369,93.5586404131509
"5331","Somerford, Dauntsey & Minety","E02006647","1st",3.72472028646136,1214,5393,69.0658313825581
"5332","Somers Town","E02000187","1st",11.4506638000893,6520,10681,107.205915177317
"5333","Somers Town","E02003541","1st",9.92775626447467,6127,10540,94.1912359058318
"5334","Somersham, Riptons & Raveleys","E02003758","1st",5.42199380605298,2489,8956,60.5403506705335
"5335","Somerton","E02006077","1st",3.96968246571823,1213,5314,74.7023422227744
"5336","Sonning & Woodley North","E02003441","1st",7.93601207852782,1734,6806,116.603174824094
"5337","Sonning Common & Kidmore End","E02005977","1st",3.30709074059445,1026,5318,62.1867382586396
"5338","Sothall","E02001673","1st",1.74336077501837,1057,4567,38.1729970444137
"5339","South Acton","E02000270","1st",16.6662821751796,5246,9334,178.554555122987
"5340","South Ascot & Sunningdale","E02003438","1st",9.9610365418368,3124,10071,98.908117782115
"5341","South Bank & Dringhouses","E02002792","1st",5.58264450986819,2060,7004,79.7065178450627
"5342","South Bank & Teesville","E02006910","1st",7.4097099471097,2894,9173,80.7773895902071
"5343","South Benfleet","E02004479","1st",6.58594702423111,1701,7123,92.4602979675854
"5344","South Bermondsey Central","E02000816","1st",10.5771643004178,5247,9501,111.326852967244
"5345","South Bermondsey East","E02000817","1st",9.29986211241677,3564,6624,140.396469088417
"5346","South Bermondsey West","E02000819","1st",11.9447853620279,4663,8546,139.770481652561
"5347","South Bersted","E02006555","1st",6.56855230793852,2759,6846,95.9473021901624
"5348","South Brent & Cornwood","E02004190","1st",6.12595430796969,1844,7646,80.1197267586933
"5349","South Broomfield","E02004486","1st",5.27106797961176,1806,7546,69.8524778639248
"5350","South Canterbury","E02005025","1st",7.37590012084383,5653,10386,71.0177173198905
"5351","South Cave, Newbald & Little Weighton","E02002707","1st",2.59950427808804,1845,7098,36.6230526639623
"5352","South Chafford","E02006859","1st",6.10496331483702,2860,6117,99.8032256798598
"5353","South Chingford","E02000900","1st",14.6405177629465,3907,8051,181.847196161304
"5354","South Darwen & Whitehall","E02002631","1st",6.08034411291191,1891,7800,77.9531296527167
"5355","South Ealing","E02000276","1st",9.6890262371359,3078,6589,147.048508683198
"5356","South Elmsall","E02002481","1st",2.89912543945961,1997,6327,45.8214863198926
"5357","South Ely","E02003735","1st",7.05953826563275,2222,7744,91.1613928929848
"5358","South Farnborough & North Camp","E02004808","1st",7.61944233731073,2593,9156,83.2180246538961
"5359","South Gosforth","E02001712","1st",6.02988730414777,2692,8727,69.0946179001692
"5360","South Hackney","E02000366","1st",13.0179288565005,4542,8603,151.318480256893
"5361","South Ham & West Ham","E02004688","1st",7.2575458160543,2391,6889,105.349772333493
"5362","South Hampstead","E02000181","1st",12.0079911800632,4685,8951,134.152510111308
"5363","South Harrow","E02000459","1st",12.250019736678,4071,8534,143.543704437286
"5364","South Hayling","E02004777","1st",5.82881181729908,1024,4830,120.679333691492
"5365","South Hornchurch","E02000490","1st",6.99978687764724,2553,7001,99.9826721560812
"5366","South Hylton","E02001804","1st",3.63591384858579,1525,5446,66.7630159490597
"5367","South Jesmond & Sandyford","E02001724","1st",3.98834698033662,4405,7801,51.1260989659866
"5368","South Kensington","E02000592","1st",23.4400923929418,4620,7778,301.364006080507
"5369","South Kirkby","E02002482","1st",4.61022073160526,1914,5964,77.300817095997
"5370","South Knutsford & Bexton","E02003863","1st",4.1849904843114,1144,5913,70.7760947794926
"5371","South Lancing","E02006541","1st",9.12796874802361,1526,6789,134.452330947468
"5372","South Molton","E02004187","1st",6.8926895593406,2249,9202,74.9042551547555
"5373","South Murton & South Hetton","E02004323","1st",2.8966811723315,1653,6278,46.1401907029548
"5374","South Newmarket & Racecourse","E02006826","1st",7.35639128512569,3688,9071,81.0979085561204
"5375","South Normanton Broadmeadows & Pinxton","E02004054","1st",5.83114995359509,1993,7869,74.1028078992895
"5376","South Normanton West","E02004053","1st",4.04978874176062,1883,6610,61.2676057755011
"5377","South Norwood Central","E02000201","1st",16.1792415415101,4381,7769,208.253849163471
"5378","South Norwood Hill","E02000200","1st",17.355283929153,4049,8129,213.498387614135
"5379","South Norwood Park","E02006788","1st",15.2586668773928,3501,6711,227.368005921514
"5380","South Ockendon","E02003302","1st",11.9045584337849,3445,8182,145.49692537014
"5381","South Oxhey","E02004967","1st",8.45309352149296,2464,6507,129.907692046918
"5382","South Park","E02000396","1st",11.7477318720723,3772,7230,162.485918009298
"5383","South Park","E02000781","1st",22.152674719958,6681,13688,161.840113383679
"5384","South Petherton, Seavington & Kingsbury","E02006084","1st",6.77331900245964,1330,6628,102.192501545861
"5385","South Promenade & Seasiders Way","E02002645","1st",10.0739182805942,2709,6208,162.273168179675
"5386","South Reddish & Heaton Norris","E02001193","1st",5.01867833206254,1733,5558,90.2964795261341
"5387","South Ruislip","E02006796","1st",11.9904046731316,3326,8768,136.751878115096
"5388","South Shields East","E02001768","1st",7.643303252623,2538,7592,100.675754117795
"5389","South Shields West","E02001769","1st",9.33075091252367,3923,8285,112.622219825271
"5390","South Shore","E02002649","1st",9.05715874638908,2229,7608,119.047827896807
"5391","South Thamesmead","E02000066","1st",12.9674725388574,3502,8125,159.599662016706
"5392","South Tottenham","E02000425","1st",13.264857045161,4592,6866,193.196286704937
"5393","South Wantage, Harwell & Blewbury","E02005992","1st",6.49275726629448,3397,11383,57.0390693691864
"5394","South Wigston","E02005415","1st",7.60960864915689,2046,6868,110.798029253886
"5395","South Wimbledon","E02000694","1st",11.0533448200454,4142,9031,122.393365297812
"5396","South Wonston, Sutton Scotney & Micheldever","E02004829","1st",2.61462700191818,959,4718,55.4181221262862
"5397","South Woodford High Road","E02000757","1st",11.8344493412874,3907,11070,106.905594772244
"5398","South Woodham Ferrers North","E02004503","1st",4.53612580408437,1890,6905,65.6933498057114
"5399","South Woodham Ferrers South","E02004504","1st",5.14010908729925,2138,7081,72.5901579903863
"5400","South Worle, West Wick & St Georges","E02006845","1st",4.37301387002205,2013,7709,56.7260847064736
"5401","Southall Green","E02000274","1st",29.4336943199149,9875,18301,160.831071088547
"5402","Southall North","E02000254","1st",17.4804361883772,4713,9932,176.001169838675
"5403","Southall Park","E02000260","1st",20.9033236056222,5318,10770,194.088427164551
"5404","Southall West","E02000263","1st",26.6045778093255,8288,15932,166.988311632723
"5405","Southam, Stockton & Napton","E02006507","1st",5.47276838529124,2305,9495,57.638424279002
"5406","Southampton Street & Redlands Road","E02003402","1st",14.1620323165115,6979,11745,120.579244925598
"5407","Southborough","E02000613","1st",6.98011787536313,2191,6772,103.073211390477
"5408","Southborough East & Longfield Road","E02005164","1st",5.64713510729754,2308,7220,78.2151676911016
"5409","Southborough West","E02005163","1st",4.93502788417743,1887,6711,73.5364011947166
"5410","Southbourne West","E02003189","1st",12.1304674294616,2491,8052,150.65160742004
"5411","Southbourne, Bosham & Thorney","E02006569","1st",7.53948450837155,2315,8230,91.6097753143566
"5412","Southbury East","E02000288","1st",20.5111094639081,4307,9778,209.767942973083
"5413","Southbury West","E02000292","1st",13.4834468832634,3331,8621,156.402353361134
"5414","Southchurch","E02003287","1st",11.6069987513573,2375,8797,131.942693547315
"5415","Southcoates Central & Docks","E02002671","1st",6.02953156145029,3208,8103,74.411101585219
"5416","Southcoates East","E02002668","1st",7.64114811107204,2722,6950,109.944577137727
"5417","Southcoates West","E02002673","1st",4.13807296340421,2307,6381,64.8499132331016
"5418","Southcote","E02003403","1st",8.63726139953688,2858,8005,107.898331037313
"5419","Southcrest","E02006726","1st",6.09953494237393,2252,5746,106.152713929237
"5420","Southdown","E02002999","1st",3.90534883968749,1873,5004,78.0445411608211
"5421","Southend Central","E02003293","1st",18.1636112259275,4873,11004,165.063715248341
"5422","Southery, Feltwell & Hockwold","E02005569","1st",5.35168240469789,1612,6658,80.3797297191031
"5423","Southey Green East","E02001625","1st",5.56034469301253,2295,6304,88.2034373891581
"5424","Southey Green West","E02001622","1st",4.91166159781991,2424,7280,67.4678790909329
"5425","Southfields North","E02000942","1st",10.0645667066293,4582,10154,99.1192309102744
"5426","Southgate","E02000296","1st",24.0559337385476,3925,9514,252.847737424297
"5427","Southgate","E02006581","1st",7.56357653110146,3316,8474,89.2562724935268
"5428","Southgate Green","E02000304","1st",16.0440838595486,2252,7255,221.14519448034
"5429","Southlake","E02003445","1st",7.04145308442739,1926,7504,93.835995261559
"5430","Southmead","E02003013","1st",11.6623184060707,4772,11377,102.507852738602
"5431","Southminster, Bradwell & Dengie Peninsula","E02004560","1st",8.19483998022071,2314,8086,101.346029931001
"5432","Southowram & Siddal","E02002261","1st",5.26999576024797,2148,6981,75.4905566573266
"5433","Southport High Park","E02001433","1st",5.22710090602227,2052,6208,84.1994346975237
"5434","Southport Kew","E02001436","1st",7.28283853345573,2389,8067,90.2793917621883
"5435","Southport South","E02001435","1st",9.1070292026955,2738,7227,126.013964337837
"5436","Southport Waterfront","E02001432","1st",15.9435295292467,3688,8734,182.545563650638
"5437","Southsea Fawcett Road","E02003543","1st",6.71980586962619,4280,7920,84.8460337074014
"5438","Southsea Haslemere Road","E02003542","1st",6.0148128700865,3664,7908,76.0598491412051
"5439","Southsea Prince Albert Road","E02003544","1st",4.22561439825815,2105,5564,75.9456218234749
"5440","Southsea Waverley Road","E02003548","1st",6.0656786186427,2612,6075,99.8465616237481
"5441","Southsea West","E02003545","1st",9.43921422740919,3554,7128,132.424442023137
"5442","Southtown & Cobholm","E02005544","1st",6.30467079437067,2440,6281,100.376863467134
"5443","Southville","E02003047","1st",6.69925432565781,4495,10185,65.7756929372392
"5444","Southwark St George's","E02006802","1st",14.5188433783687,6696,11034,131.582774862866
"5445","Southwater","E02006596","1st",4.21023035365222,1607,7946,52.9855317600329
"5446","Southway","E02003123","1st",4.95789087288701,2074,7173,69.1187909227243
"5447","Southwell","E02005900","1st",3.38780152810601,1518,6572,51.5490189912661
"5448","Southwell & Weston","E02004289","1st",4.49692041380652,1366,6256,71.8817201695415
"5449","Southwick","E02001795","1st",5.69327836828997,1816,6440,88.4049436069871
"5450","Southwold, Reydon & Wrentham","E02006315","1st",3.94044193332135,1000,5332,73.9017616901978
"5451","Sovereign Harbour","E02006858","1st",11.8347244862686,1731,6329,186.992012739273
"5452","Sowerby & Luddendenfoot","E02002263","1st",4.72664291314931,1386,5680,83.2155442455864
"5453","Sowerby Bridge","E02002260","1st",9.19491851212853,2207,7730,118.951080363888
"5454","Spalding East","E02005471","1st",8.79483429612591,3566,8563,102.707395727267
"5455","Spalding North","E02005470","1st",10.7550404553955,5265,11746,91.5634297241234
"5456","Spalding South West","E02005473","1st",8.2007820064172,3335,8778,93.4242652815812
"5457","Sparkbrook North","E02001897","1st",17.9773505098933,5030,7819,229.918794089952
"5458","Sparkbrook South","E02001903","1st",18.0788471769574,4833,7314,247.181394270678
"5459","Sparkhill North","E02001908","1st",19.3765126583272,5431,8490,228.2274753631
"5460","Speedwell","E02003032","1st",6.71732956462883,3237,7308,91.9174817272692
"5461","Speke East","E02001405","1st",10.0740485071019,4044,8491,118.643840620679
